design,regime,p,seed,m,estimate,standard_error,population_reference,absolute_difference,tolerance,agrees_with_population
fixed_cardinality,negative_block,0.875,303,8192,0.5225378217835559,0.003448277673216151,0.522871687248871,0.0003338654653151085,0.026620054889676805,true
fixed_cardinality,negative_block,1,101,8192,0.569085626948011,0.004714934926992324,0.5641910224244311,0.004894604523579926,0.03558447199792246,true
fixed_cardinality,negative_block,1,202,8192,0.5629501944653985,0.004639467146396119,0.5641910224244311,0.0012408279590325755,0.035179551900393846,true
fixed_cardinality,negative_block,1,303,8192,0.5686486187235802,0.004701361013872934,0.5641910224244311,0.0044575962991491025,0.035511545439715714,true
bernoulli_conditioned_nonempty,negative_block,0.125,101,8192,0.09978730001514444,0.0037768166892554918,0.0969372115056289,0.0028500885095155415,0.02669108694139941,true
bernoulli_conditioned_nonempty,negative_block,0.125,202,8192,0.10173798748888868,0.00387438242898334,0.0969372115056289,0.004800775983259786,0.027275722180978273,true
bernoulli_conditioned_nonempty,negative_block,0.125,303,8192,0.09652291637383334,0.003854203737058465,0.0969372115056289,0.00041429513179555566,0.027154803901409858,true
bernoulli_conditioned_nonempty,negative_block,0.25,101,8192,0.19412565869672627,0.0035709395704214765,0.19625902517682675,0.002133366480100485,0.025556060212883366,true
bernoulli_conditioned_nonempty,negative_block,0.25,202,8192,0.19511093826849216,0.003554369822033749,0.19625902517682675,0.0011480869083345946,0.025457246022824464,true
bernoulli_conditioned_nonempty,negative_block,0.25,303,8192,0.19240768658708907,0.0036055469960390163,0.19625902517682675,0.003851338589737685,0.025762460384870074,true
bernoulli_conditioned_nonempty,negative_block,0.375,101,8192,0.28780721023424066,0.0031924102815785575,0.2868014396060698,0.0010057706281708656,0.023464528374262394,true
bernoulli_conditioned_nonempty,negative_block,0.375,202,8192,0.2868048604389864,0.0032690391472720505,0.2868014396060698,0.00000342083291660078,0.023917145184221025,true
bernoulli_conditioned_nonempty,negative_block,0.375,303,8192,0.28748189601262353,0.0032023264706782266,0.2868014396060698,0.0006804564065537311,0.02352308059482604,true
bernoulli_conditioned_nonempty,negative_block,0.5,101,8192,0.36386919540566387,0.002845822245645424,0.3606465047688538,0.003222690636810077,0.02162364372852348,true
bernoulli_conditioned_nonempty,negative_block,0.5,202,8192,0.3583802610305908,0.002852888472029961,0.3606465047688538,0.0022662437382630074,0.02166472416855253,true
bernoulli_conditioned_nonempty,negative_block,0.5,303,8192,0.3639944411617737,0.002880955626561723,0.3606465047688538,0.0033479363929199146,0.02182795716655689,true
bernoulli_conditioned_nonempty,negative_block,0.625,101,8192,0.42438098227754906,0.0030319504818087967,0.4194971590590597,0.004883823218489347,0.023117996622295082,true
bernoulli_conditioned_nonempty,negative_block,0.625,202,8192,0.42344176395712474,0.0029581957006135917,0.4194971590590597,0.0039446048980650295,0.02269740425015353,true
bernoulli_conditioned_nonempty,negative_block,0.625,303,8192,0.42582229420495693,0.0029965196040059004,0.4194971590590597,0.0063251351458972205,0.022915824362684415,true
bernoulli_conditioned_nonempty,negative_block,0.75,101,8192,0.4654105183478476,0.003407996070295455,0.46880049057494566,0.0033899722270980814,0.025916301600355168,true
bernoulli_conditioned_nonempty,negative_block,0.75,202,8192,0.4693116575910839,0.0034704651842684385,0.46880049057494566,0.0005111670161382365,0.026266413395970488,true
bernoulli_conditioned_nonempty,negative_block,0.75,303,8192,0.4708721116336926,0.003415257419608358,0.46880049057494566,0.0020716210587469197,0.025956956364924417,true
bernoulli_conditioned_nonempty,negative_block,0.875,101,8192,0.5203083014082936,0.0034699956038303737,0.519301836766745,0.0010064646415486322,0.026716949821488575,true
bernoulli_conditioned_nonempty,negative_block,0.875,202,8192,0.5197407564523604,0.0034586657054078646,0.519301836766745,0.00043891968561537986,0.02665466336439089,true
bernoulli_conditioned_nonempty,negative_block,0.875,303,8192,0.5187563801358,0.0034884140883660398,0.519301836766745,0.0005454566309449627,0.026818275355493842,true
bernoulli_conditioned_nonempty,negative_block,1,101,8192,0.569085626948011,0.004714934926992324,0.5641910224244311,0.004894604523579926,0.03558447199792246,true
bernoulli_conditioned_nonempty,negative_block,1,202,8192,0.5629501944653985,0.004639467146396119,0.5641910224244311,0.0012408279590325755,0.035179551900393846,true
bernoulli_conditioned_nonempty,negative_block,1,303,8192,0.5686486187235802,0.004701361013872934,0.5641910224244311,0.0044575962991491025,0.035511545439715714,true
